[opt] evaluating low-fidelity baseline candidate
[sim] emission 1/72 (count=  1.4%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  11.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 425.4m/s ( 826.8kt) mach=1.25 eff_mach=1.375 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.55m/s c_eff=309.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -50.3,32733.9]m
[sim] emission 2/72 (count=  2.8%, route=  0.5%) time=2026-02-09T18:00:10+00:00 elapsed=   0.17m eta=  11.67m | aircraft lat=+44.8714 lon= -93.1724 alt=16500.1m ( 54134.1ft) speed= 403.4m/s ( 784.2kt) mach=1.19 eff_mach=1.304 | mode=takeoff_climb | atmo T=214.86K RH=  1.1% p=  95.53hPa c=293.85m/s w_proj=+15.65m/s c_eff=309.50m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.4 cutoff=no terminal_alt=[  -22.1,32708.2]m
[sim] emission 3/72 (count=  4.2%, route=  1.0%) time=2026-02-09T18:00:20+00:00 elapsed=   0.33m eta=  11.50m | aircraft lat=+44.8579 lon= -93.1221 alt=16500.1m ( 54134.3ft) speed= 410.7m/s ( 798.4kt) mach=1.21 eff_mach=1.327 | mode=takeoff_climb | atmo T=214.81K RH=  1.1% p=  95.53hPa c=293.81m/s w_proj=+15.64m/s c_eff=309.46m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.4 cutoff=no terminal_alt=[  -18.8,32535.1]m
[sim] emission 4/72 (count=  5.6%, route=  1.5%) time=2026-02-09T18:00:30+00:00 elapsed=   0.50m eta=  11.33m | aircraft lat=+44.8444 lon= -93.0721 alt=16565.5m ( 54348.7ft) speed= 408.3m/s ( 793.7kt) mach=1.20 eff_mach=1.320 | mode=takeoff_climb | atmo T=214.80K RH=  1.1% p=  94.62hPa c=293.80m/s w_proj=+15.56m/s c_eff=309.36m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[  -24.5,32674.2]m
[sim] emission 5/72 (count=  6.9%, route=  2.0%) time=2026-02-09T18:00:40+00:00 elapsed=   0.67m eta=  11.17m | aircraft lat=+44.8310 lon= -93.0220 alt=16621.4m ( 54532.0ft) speed= 409.1m/s ( 795.1kt) mach=1.20 eff_mach=1.323 | mode=takeoff_climb | atmo T=214.68K RH=  1.1% p=  93.84hPa c=293.72m/s w_proj=+15.48m/s c_eff=309.20m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.9 cutoff=no terminal_alt=[  -27.9,32724.6]m
[sim] emission 6/72 (count=  8.3%, route=  2.5%) time=2026-02-09T18:00:50+00:00 elapsed=   0.83m eta=  11.00m | aircraft lat=+44.8175 lon= -92.9719 alt=16669.1m ( 54688.8ft) speed= 408.7m/s ( 794.5kt) mach=1.20 eff_mach=1.322 | mode=takeoff_climb | atmo T=214.66K RH=  1.1% p=  93.18hPa c=293.71m/s w_proj=+15.41m/s c_eff=309.12m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.5 cutoff=no terminal_alt=[   -3.9,32725.6]m
[sim] emission 7/72 (count=  9.7%, route=  3.0%) time=2026-02-09T18:01:00+00:00 elapsed=   1.00m eta=  10.83m | aircraft lat=+44.8040 lon= -92.9219 alt=16710.0m ( 54822.8ft) speed= 408.8m/s ( 794.6kt) mach=1.20 eff_mach=1.323 | mode=takeoff_climb | atmo T=214.57K RH=  1.1% p=  92.60hPa c=293.65m/s w_proj=+15.35m/s c_eff=308.99m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[  -13.4,32768.2]m
[sim] emission 8/72 (count= 11.1%, route=  3.5%) time=2026-02-09T18:01:10+00:00 elapsed=   1.17m eta=  10.67m | aircraft lat=+44.7906 lon= -92.8719 alt=16744.9m ( 54937.3ft) speed= 408.7m/s ( 794.5kt) mach=1.20 eff_mach=1.323 | mode=takeoff_climb | atmo T=214.55K RH=  1.1% p=  92.12hPa c=293.64m/s w_proj=+15.27m/s c_eff=308.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[   -7.5,32769.2]m
[sim] emission 9/72 (count= 12.5%, route=  4.0%) time=2026-02-09T18:01:20+00:00 elapsed=   1.33m eta=  10.50m | aircraft lat=+44.7771 lon= -92.8220 alt=16774.7m ( 55035.2ft) speed= 408.7m/s ( 794.5kt) mach=1.20 eff_mach=1.324 | mode=takeoff_climb | atmo T=214.42K RH=  1.1% p=  91.69hPa c=293.54m/s w_proj=+15.25m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.5 cutoff=no terminal_alt=[  -14.2,32773.9]m
[sim] emission 10/72 (count= 13.9%, route=  4.5%) time=2026-02-09T18:01:30+00:00 elapsed=   1.50m eta=  10.33m | aircraft lat=+44.7636 lon= -92.7720 alt=16787.4m ( 55076.7ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.39K RH=  1.1% p=  91.50hPa c=293.53m/s w_proj=+15.27m/s c_eff=308.80m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.2 cutoff=no terminal_alt=[  -25.0,32794.7]m
[sim] emission 11/72 (count= 15.3%, route=  5.0%) time=2026-02-09T18:01:40+00:00 elapsed=   1.67m eta=  10.17m | aircraft lat=+44.7501 lon= -92.7221 alt=16794.4m ( 55099.6ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.37K RH=  1.1% p=  91.40hPa c=293.51m/s w_proj=+15.29m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.1 cutoff=no terminal_alt=[  -27.5,32752.4]m
[sim] emission 12/72 (count= 16.7%, route=  5.5%) time=2026-02-09T18:01:50+00:00 elapsed=   1.83m eta=  10.00m | aircraft lat=+44.7365 lon= -92.6722 alt=16802.1m ( 55125.1ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.26K RH=  1.1% p=  91.28hPa c=293.44m/s w_proj=+15.36m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.4 cutoff=no terminal_alt=[   -4.5,32721.1]m
[sim] emission 13/72 (count= 18.1%, route=  6.0%) time=2026-02-09T18:02:00+00:00 elapsed=   2.00m eta=   9.83m | aircraft lat=+44.7230 lon= -92.6223 alt=16811.0m ( 55154.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.324 | mode=enroute | atmo T=214.21K RH=  1.1% p=  91.15hPa c=293.40m/s w_proj=+15.37m/s c_eff=308.77m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.1 cutoff=no terminal_alt=[  -10.2,32795.9]m
[sim] emission 14/72 (count= 19.4%, route=  6.5%) time=2026-02-09T18:02:10+00:00 elapsed=   2.17m eta=   9.67m | aircraft lat=+44.7094 lon= -92.5725 alt=16821.2m ( 55187.6ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.324 | mode=enroute | atmo T=214.13K RH=  1.1% p=  91.01hPa c=293.35m/s w_proj=+15.41m/s c_eff=308.75m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.4 cutoff=no terminal_alt=[  -20.7,32777.7]m
[sim] emission 15/72 (count= 20.8%, route=  7.0%) time=2026-02-09T18:02:20+00:00 elapsed=   2.33m eta=   9.50m | aircraft lat=+44.6958 lon= -92.5226 alt=16833.0m ( 55226.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.11K RH=  1.1% p=  90.84hPa c=293.33m/s w_proj=+15.46m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.4 cutoff=no terminal_alt=[   -8.1,32706.4]m
[sim] emission 16/72 (count= 22.2%, route=  7.5%) time=2026-02-09T18:02:30+00:00 elapsed=   2.50m eta=   9.33m | aircraft lat=+44.6822 lon= -92.4728 alt=16846.4m ( 55270.5ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.05K RH=  1.1% p=  90.66hPa c=293.29m/s w_proj=+15.53m/s c_eff=308.82m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.6 cutoff=no terminal_alt=[  -19.5,32760.9]m
[sim] emission 17/72 (count= 23.6%, route=  8.0%) time=2026-02-09T18:02:40+00:00 elapsed=   2.67m eta=   9.17m | aircraft lat=+44.6685 lon= -92.4230 alt=16860.5m ( 55316.7ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.04K RH=  1.2% p=  90.46hPa c=293.28m/s w_proj=+15.55m/s c_eff=308.84m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.8 cutoff=no terminal_alt=[  -18.3,32806.6]m
[sim] emission 18/72 (count= 25.0%, route=  8.5%) time=2026-02-09T18:02:50+00:00 elapsed=   2.83m eta=   9.00m | aircraft lat=+44.6550 lon= -92.3731 alt=16869.5m ( 55346.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.34hPa c=293.23m/s w_proj=+15.63m/s c_eff=308.86m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -44.8,32765.2]m
[sim] emission 19/72 (count= 26.4%, route=  9.0%) time=2026-02-09T18:03:00+00:00 elapsed=   3.00m eta=   8.83m | aircraft lat=+44.6415 lon= -92.3232 alt=16873.8m ( 55360.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.29hPa c=293.23m/s w_proj=+15.71m/s c_eff=308.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.1 cutoff=no terminal_alt=[  -27.4,32783.1]m
