[opt] evaluating low-fidelity baseline candidate
[sim] emission 12/72 (count= 16.7%, window= 15.5%, route=  7.3%) time=2026-02-09T18:01:50+00:00 elapsed=   1.83m remaining=  10.00m | aircraft lat=+44.7557 lon= -92.7427 alt=16473.9m ( 54048.3ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.51K RH=  1.1% p=  95.85hPa c=293.61m/s w_proj=+15.99m/s c_eff=309.60m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.2 cutoff=yes terminal_alt=[32234.3,32622.2]m
[sim] emission 13/72 (count= 18.1%, window= 16.9%, route=  8.0%) time=2026-02-09T18:02:00+00:00 elapsed=   2.00m remaining=   9.83m | aircraft lat=+44.7439 lon= -92.6991 alt=16461.0m ( 54005.8ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.40K RH=  1.1% p=  96.02hPa c=293.53m/s w_proj=+16.08m/s c_eff=309.61m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.6 cutoff=yes terminal_alt=[32280.1,32634.1]m
[sim] emission 14/72 (count= 19.4%, window= 18.3%, route=  8.7%) time=2026-02-09T18:02:10+00:00 elapsed=   2.17m remaining=   9.67m | aircraft lat=+44.7321 lon= -92.6555 alt=16451.4m ( 53974.5ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.41K RH=  1.1% p=  96.15hPa c=293.54m/s w_proj=+16.10m/s c_eff=309.64m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.5 cutoff=yes terminal_alt=[32226.5,32544.4]m
[sim] emission 15/72 (count= 20.8%, window= 19.7%, route=  9.3%) time=2026-02-09T18:02:20+00:00 elapsed=   2.33m remaining=   9.50m | aircraft lat=+44.7202 lon= -92.6120 alt=16445.1m ( 53953.8ft) speed= 354.0m/s ( 688.2kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.35K RH=  1.1% p=  96.24hPa c=293.50m/s w_proj=+16.13m/s c_eff=309.63m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.5 cutoff=yes terminal_alt=[32240.1,32602.8]m
[sim] emission 16/72 (count= 22.2%, window= 21.1%, route= 10.0%) time=2026-02-09T18:02:30+00:00 elapsed=   2.50m remaining=   9.33m | aircraft lat=+44.7084 lon= -92.5684 alt=16441.9m ( 53943.2ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.25K RH=  1.1% p=  96.28hPa c=293.43m/s w_proj=+16.18m/s c_eff=309.61m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.5 cutoff=yes terminal_alt=[32253.4,32714.1]m
[sim] emission 17/72 (count= 23.6%, window= 22.5%, route= 10.7%) time=2026-02-09T18:02:40+00:00 elapsed=   2.67m remaining=   9.17m | aircraft lat=+44.6965 lon= -92.5249 alt=16441.6m ( 53942.3ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.21K RH=  1.1% p=  96.28hPa c=293.40m/s w_proj=+16.25m/s c_eff=309.65m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.1 cutoff=yes terminal_alt=[32179.0,32671.7]m
[sim] emission 18/72 (count= 25.0%, window= 23.9%, route= 11.3%) time=2026-02-09T18:02:50+00:00 elapsed=   2.83m remaining=   9.00m | aircraft lat=+44.6847 lon= -92.4814 alt=16444.2m ( 53950.6ft) speed= 354.0m/s ( 688.2kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.11K RH=  1.1% p=  96.25hPa c=293.33m/s w_proj=+16.39m/s c_eff=309.72m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.4 cutoff=yes terminal_alt=[32239.9,32663.9]m
[sim] emission 19/72 (count= 26.4%, window= 25.4%, route= 12.0%) time=2026-02-09T18:03:00+00:00 elapsed=   3.00m remaining=   8.83m | aircraft lat=+44.6728 lon= -92.4379 alt=16449.4m ( 53967.9ft) speed= 354.0m/s ( 688.2kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.11K RH=  1.1% p=  96.18hPa c=293.33m/s w_proj=+16.38m/s c_eff=309.71m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.5 cutoff=yes terminal_alt=[32336.8,32610.2]m
[sim] emission 20/72 (count= 27.8%, window= 26.8%, route= 12.7%) time=2026-02-09T18:03:10+00:00 elapsed=   3.17m remaining=   8.67m | aircraft lat=+44.6609 lon= -92.3944 alt=16455.9m ( 53989.1ft) speed= 354.0m/s ( 688.2kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.06K RH=  1.2% p=  96.09hPa c=293.30m/s w_proj=+16.43m/s c_eff=309.73m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.1 cutoff=yes terminal_alt=[32263.7,32596.0]m
[sim] emission 21/72 (count= 29.2%, window= 28.2%, route= 13.3%) time=2026-02-09T18:03:20+00:00 elapsed=   3.33m remaining=   8.50m | aircraft lat=+44.6490 lon= -92.3508 alt=16458.5m ( 53997.7ft) speed= 354.1m/s ( 688.2kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=213.96K RH=  1.2% p=  96.06hPa c=293.23m/s w_proj=+16.60m/s c_eff=309.83m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  94.1 cutoff=yes terminal_alt=[32228.0,32701.3]m
